Rainfall,Temp,pH,Nitrogen (N),phosphours (P),Pottasium (K),Manganese (Mn),Zinc (Zn),Copper (Cu),Crop
1324.69181196183,23.2121823543987,6.3,129.327219233762,48.3824462862915,187.553086716155,28.920356469794,2.17774466243528,0.693617191968954,Tobbaco
1465.87124078668,21.8509976199214,6.4,123.327994589451,42.5474004099431,193.882677151138,46.1585679726312,8.3583838532249,2.66043634809225,Tobbaco
1368.47281558208,23.1838828398083,6,141.979934579165,44.865021260968,175.54754583465,25.4371379313555,1.2028944408892,4.20925241699506,Tobbaco
1156.29498477991,25.999399333865,6.4,121.634572988911,47.3766083729258,186.419118667162,34.2517004288959,2.90539981414396,3.49478228326474,Tobbaco
1238.49786264641,33.1430872799807,5.9,145.653649352933,30.4097398881422,165.152176737383,36.4439466817094,8.83122786470861,3.27832718394443,Tobbaco
1133.33936249895,19.3678183767232,5.9,144.655367174732,46.264694199753,196.932490676997,36.459264069477,4.05105305686807,4.0016326894573,Tobbaco
1092.33628474958,25.579948197531,6.1,124.875979752231,47.8536856211267,199.145227960576,43.3008817771343,4.0061840900293,2.02554762117495,Tobbaco
1187.31320153703,30.1886656711813,6.2,139.352904851305,30.5020144731457,197.919578318103,38.9665168544084,6.8924634901678,2.85354213998414,Tobbaco
1209.52878650871,17.2392376480432,6.1,136.415694143659,32.1058501348453,176.750004172718,41.8755997519002,6.88703470282028,4.35854579069888,Tobbaco
1374.82731719134,15.5097271196285,5.9,113.346777446455,48.5675075045921,177.69346663604,49.3484295903916,9.17215103491322,3.27574823765229,Tobbaco
1120.14051202904,29.6327262239928,5.9,132.338847983872,48.8197834695601,161.385581239712,47.9315853814199,3.63646673044131,1.55804861458318,Tobbaco
1337.38872955426,24.191910107232,6.3,122.559572360458,31.2687870233779,151.162061090147,41.4501672478866,5.45146245222017,2.3756311565514,Tobbaco
1203.29745899497,34.1254819420171,6.3,136.244732001882,38.3138738760226,183.72963895185,30.5858994555903,9.7731419530595,3.28737653637668,Tobbaco
1151.23669815678,15.3989976589426,6.2,112.294461313372,31.9204000027236,150.029248173013,24.2180003464094,6.25037271802684,2.22623469347966,Tobbaco
1174.52979645805,31.8666609856939,6.3,107.44766644335,46.6178545408669,190.285900705115,42.3510183124335,7.36581299263911,1.79510088025341,Tobbaco
1439.74370512889,27.9173022661976,6.3,114.909351544455,30.4531974755639,184.712875235908,47.0582848460017,3.85492742479428,1.37983434256159,Tobbaco
1323.48483325663,23.6188881944274,6.4,107.251021975979,41.7322944061828,197.960045611505,20.927408446357,7.45538138151669,2.19286113955461,Tobbaco
1290.39570456229,30.7425992272542,6.4,105.820175305553,31.5749897756333,190.538477200288,40.4993760571565,3.51476842067497,2.48534801500338,Tobbaco
1307.3862646137,16.2263999217652,5.9,122.383024484574,30.1961177769347,167.157827164943,23.7526011350224,4.05300467438501,4.92055856022515,Tobbaco
1387.25471138614,23.2984061581957,6.3,149.838756785167,39.9018358194934,153.632385633262,49.272280052078,5.17639870240374,2.49265023403658,Tobbaco
1485.84182892822,22.6340729210706,6.1,121.170634799505,39.8115413452652,161.50433716251,40.4516831336051,6.05185699508701,4.748170637687,Tobbaco
1312.50310158962,16.7794377128624,5.8,118.122136360069,45.8969503424173,164.26937519394,22.9806835416192,9.93310512915035,1.82688349373894,Tobbaco
1461.81464866786,29.9738286016995,6.5,143.130999691102,40.265200298767,186.897564503702,30.9438375320849,1.87951417391259,2.17969041932024,Tobbaco
1439.55414579641,29.0499740505188,6.2,120.522740926272,37.2144698401307,188.794300715667,34.4448894354082,2.59947546942008,2.42088688928486,Tobbaco
1002.483455198,32.3105345991971,6.3,109.986357722363,35.8286836072687,190.519382496286,34.6238573852859,1.95950182879899,4.87026042548313,Tobbaco
1108.56991204142,20.5515766288554,6.4,147.810230704543,45.7890333208524,175.804661132715,41.0431573842776,2.29968214025923,0.615703641246789,Tobbaco
1295.5817337743,22.2799278469822,6.4,149.909938025727,45.0552092888049,152.486361199294,37.7855936326127,7.60582143929361,4.92332532624563,Tobbaco
1322.77139366722,29.9903901557893,6,148.135633793632,33.3611108665504,165.953268637781,33.729795962465,5.23288226579827,4.17857553506261,Tobbaco
1198.27519830678,29.7948814362472,5.8,104.467164711505,30.4599779880848,163.873666603655,21.6076568321823,7.21525557645736,1.62823414744391,Tobbaco
1396.45165113597,34.0361039807516,6,143.534502778601,48.1984928724169,181.82950581807,23.0526916355959,2.47424804746938,3.27735266151814,Tobbaco
